epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,170.052,1.6703,3.00452,0.47918,0.25785,0.27609,0.14906,0.05196,1.21317,0.49489,0.16921,0.000473071,0.000473071,0.000473071
2,342.485,0.97581,0.63031,0.12288,0.46674,0.23842,0.13615,0.04993,1.04302,0.64007,0.11879,0.000918074,0.000918074,0.000918074
3,509.56,0.87941,0.63474,0.09902,0.60519,0.33739,0.27541,0.1125,0.89689,0.61518,0.08778,0.00133164,0.00133164,0.00133164
4,681.181,0.83007,0.63125,0.08567,0.34941,0.3729,0.26794,0.08018,0.97789,0.54954,0.09177,0.00128753,0.00128753,0.00128753
5,848.095,0.79799,0.58567,0.08383,0.50305,0.4903,0.39068,0.11775,0.86543,0.57393,0.07771,0.00124037,0.00124037,0.00124037
6,1018.9,0.77522,0.56642,0.07636,0.50999,0.44728,0.38341,0.10615,0.89556,0.52756,0.0829,0.00119322,0.00119322,0.00119322
7,1189.4,0.71695,0.56837,0.06924,0.52438,0.50988,0.41883,0.15099,0.85078,0.5502,0.07621,0.00114606,0.00114606,0.00114606
8,1359.43,0.71937,0.55131,0.06545,0.49461,0.48301,0.39799,0.1291,0.86303,0.55549,0.07743,0.0010989,0.0010989,0.0010989
9,1523.13,0.66728,0.54899,0.05929,0.47719,0.49502,0.4229,0.12058,0.84819,0.65706,0.07638,0.00105174,0.00105174,0.00105174
10,1687.15,0.65331,0.54978,0.05918,0.58152,0.54446,0.47098,0.18166,0.77185,0.55877,0.06713,0.00100459,0.00100459,0.00100459
11,1857.04,0.67679,0.54938,0.06227,0.58024,0.54723,0.48819,0.18414,0.77356,0.57636,0.06563,0.00095743,0.00095743,0.00095743
12,2022.11,0.66105,0.51959,0.05768,0.60078,0.53963,0.49021,0.17324,0.77284,0.57521,0.0678,0.000910273,0.000910273,0.000910273
13,2191.83,0.66423,0.53945,0.05677,0.46154,0.44171,0.38588,0.14355,0.81411,0.68213,0.07462,0.000863116,0.000863116,0.000863116
14,2362.61,0.64063,0.5629,0.05644,0.60756,0.53241,0.48249,0.15798,0.80324,0.57522,0.07249,0.000815959,0.000815959,0.000815959
15,2530.76,0.61879,0.51957,0.055,0.63787,0.51347,0.49142,0.18321,0.76116,0.58268,0.06856,0.000768802,0.000768802,0.000768802
16,2698.16,0.60866,0.51438,0.05186,0.60146,0.53781,0.44515,0.14218,0.82028,0.56105,0.07636,0.000721645,0.000721645,0.000721645
17,2867.95,0.59492,0.51802,0.0509,0.62135,0.54918,0.47136,0.14517,0.81307,0.55366,0.07221,0.000674488,0.000674488,0.000674488
18,3037.29,0.58949,0.50315,0.05012,0.62244,0.52787,0.46112,0.14622,0.80727,0.56441,0.06993,0.000627331,0.000627331,0.000627331
19,3206.18,0.56425,0.49468,0.05111,0.57422,0.52515,0.46515,0.1542,0.78448,0.56755,0.06626,0.000580174,0.000580174,0.000580174
20,3376.13,0.59915,0.49738,0.05146,0.62532,0.48073,0.45424,0.14642,0.87126,0.5246,0.08453,0.000533017,0.000533017,0.000533017
21,3546.72,0.58695,0.50477,0.05469,0.63082,0.53846,0.4599,0.13869,0.82565,0.55277,0.07763,0.00048586,0.00048586,0.00048586
22,3715.4,0.5672,0.49516,0.05281,0.66035,0.53804,0.51046,0.20273,0.74261,0.54545,0.06696,0.000438703,0.000438703,0.000438703
23,3885.54,0.52749,0.48584,0.04604,0.67845,0.5562,0.52627,0.18823,0.75782,0.54088,0.06649,0.000391546,0.000391546,0.000391546
24,4055.39,0.52618,0.47375,0.04538,0.627,0.55064,0.51629,0.21944,0.70745,0.55788,0.06481,0.000344389,0.000344389,0.000344389
25,4223.21,0.51595,0.47435,0.04498,0.66469,0.51589,0.50872,0.15602,0.80587,0.54177,0.07185,0.000297232,0.000297232,0.000297232
26,4388.55,0.49673,0.46522,0.04356,0.6461,0.61597,0.54704,0.19747,0.74322,0.56609,0.06415,0.000250075,0.000250075,0.000250075
27,4554.94,0.48139,0.45281,0.04044,0.6508,0.6035,0.55791,0.20891,0.71235,0.56986,0.06107,0.000202918,0.000202918,0.000202918
28,4720.49,0.46821,0.44799,0.04045,0.68821,0.5431,0.53017,0.19755,0.71843,0.57254,0.06274,0.000155761,0.000155761,0.000155761
29,4884.27,0.4621,0.43963,0.04139,0.72489,0.57066,0.58675,0.2133,0.71558,0.56795,0.06099,0.000108604,0.000108604,0.000108604
30,5054.9,0.45212,0.4404,0.0385,0.72313,0.54859,0.57243,0.19967,0.74125,0.55965,0.06179,6.1447e-05,6.1447e-05,6.1447e-05
